Step      Pruned    Retained       Accuracy
---------------------------------------------
1         21        491            0.9722
2         193       319            0.9549
3         317       195            0.9549
4         343       169            0.9375
5         367       145            0.9549
6         387       125            0.9722
7         399       113            0.9618
8         420       92             0.9688
9         429       83             0.9757
10        442       70             0.9722
11        449       63             0.9618
12        453       59             0.9826
13        458       54             0.9792
14        468       44             0.9757
15        472       40             0.9653
16        481       31             0.8993
17        484       28             0.7326
18        489       23             0.7222
19        494       18             0.3507
